"","company","RD","OR","NI","TA","TE","Patent","Industry","Frequency"
"1924","ANOT.ST",58999.5,179265.5,-132086.75,380642.75,244899,78152.25,"High",0
"1926","DORO.ST",103450,1910525,63200,1282125,567350,22325,"High",0
"1932","MULQ.ST",14004.25,131980.5,-1120.5,127516.5,74796.25,1942.75,"High",0
"1944","LEO.ST",-4130.25,192311.75,19033.25,143830,55129.75,17031.75,"High",0
"1945","ENRO.ST",203500,1861750,-616500,3484750,727250,642500,"High",0
"1946","ENRO-PREF.ST",203500,1861750,-616500,3484750,727250,642500,"High",0
"1949","FING-B.ST",278275,3509975,580650,2821025,1869800,214025,"High",0
"1956","SINT.ST",8275,75275,25825,104700,93500,1675,"High",0
"1957","HPOL-B.ST",87500,12027000,1490750,10844250,7348500,362750,"High",0
"1958","ALIV-SDB.ST",416075,8476550,410350,7757850,3262900,103950,"High",0
"1962","VBG-B.ST",82552.5,2338409.5,177441.75,3105748,1532040.75,636504.25,"High",0
"1965","BELE.ST",121335.25,1279809,-16393.5,1454606.5,543563.75,112376.75,"High",0
"1966","SAAB-B.ST",1429500,30159750,1321250,44356250,14879000,316000,"High",0
"1968","MYCR.ST",359806,2728993.25,596236.75,2983864.5,1714804,492676.25,"High",0
"1978","TELIA.ST",192500,83506250,6291750,250351500,96571750,15797750,"Low",0
"2052","EPI-A.ST",791000,31353500,4136250,30526000,15371500,1560250,"Low",0
"2053","EPI-B.ST",791000,31353500,4136250,30526000,15371500,1560250,"Low",0
"2063","INWI.ST",45875,5982525,361650,6330725,3094625,230200,"Low",0
"2064","LIAB.ST",65750,8251500,338000,7546250,3987500,104000,"Low",0
"2065","NWG.ST",6500,2099900,131750,1699100,952950,44625,"Low",0
"2070","FMM-B.ST",36823.75,1121425.25,64961.75,886143.75,415266,43867,"Low",0
"2073","SVED-B.ST",9552,539336.25,41294.5,442762.5,168572.75,26070.25,"Low",0
