"","company","SER","RND","ROA","Size","Frequency","Industry","Patent"
"98","DRW3.F",0.435872571382618,0.0909671666784466,0.0263999450380606,2347078.75,1,"High",32663.5
"99","FME.F",0.410182221896365,0.00812233974527744,0.0540789867451326,24781520.15525,1,"High",733045.43675
"100","FRE.F",0.264025625087723,0.0175885248929831,0.0338810578870331,49873000,1,"High",2035750
"101","SHL.F",0.22326135221959,0.0883390247998656,0.0648946330451608,20155750,1,"High",1570000
"102","SBS.F",0.609500118727948,0.0488588148728846,0.0796941735436474,238991.75,1,"High",56810.25
"103","BIO.F",0.412455634144473,0.134049970947124,0.0127416183642724,979075,1,"High",3950
"104","BIO3.F",0.412455634144473,0.134049970947124,0.0127416183642724,979075,1,"High",3950
"105","MRK.F",0.389518166182952,0.140120932508476,0.058603407502956,37212000,1,"High",9088250
"106","B8F.F",0.33316009441521,0.449216589861751,-0.506312393079105,23089.5,1,"High",1038.5
"107","ECX.F",0.700248550124275,2.23429752066116,-0.594766639049986,18105,1,"High",180.25
"108","EVT.F",0.55428271847758,0.096294212512106,0.0728946570475871,520250.75,1,"High",79815
"109","EXN.F",0.787239056063674,0.459223393145353,-0.132130140333729,28646,1,"High",5424.25
"110","WL6.F",0.821256319156309,2.76963713044689,-0.355738312797512,25006.305,1,"High",2832.368
"111","MDG1.F",0.791611768461329,1.7681361228094,-0.118963607577988,116693.25,1,"High",33787.25
"112","MOR.F",0.89404922153351,1.16782165033643,-0.0943319815974613,454460.39375,1,"High",59256.83525
"113","PA8.F",0.774051986197437,6.41446492297308,-0.511134116060476,34415.058,1,"High",2669.17625
"114","QIA.F",0.536941611823375,0.11061160513011,0.0228972895782379,4818539.75,1,"High",541985.25
"115","SRT.F",0.306403041567018,0.048073491593401,0.0605512341144201,2003704,1,"High",267220.75
"116","SRT3.F",0.306403041567018,0.048073491593401,0.0605512341144201,2003704,1,"High",267220.75
"117","VSC.F",0.87192140666282,3.64600031431715,-0.372111208964742,32929,1,"High",6121.25
"118","AOF.F",0.563311101803447,0.187442577605149,0.244685064612065,38249.84175,1,"High",279.99425
"119","FBEN.F",0.241711140484564,0.346413513298507,-0.184960833013146,271976.5,1,"High",26393.75
"120","ISH2.F",0.594813749594099,0.149074106243269,-0.0963863246277311,26946.25,1,"High",4535.75
"121","ISR.F",0.601316776875101,0.137545124335365,0.0679702656361664,279508.25,1,"High",11868.5
"122","RIB.F",0.823682646036953,0.117836484970232,0.0409250840535598,396547.75,1,"High",68829.75
"123","SAP.F",0.578700971933067,0.141337903606781,0.0823693790984291,44910500,1,"High",3565000
"124","YSN.F",0.473533151834893,0.00599114364329827,0.107941264695087,113737.249,1,"High",1664.89375
"125","SOW.F",0.603794150397536,0.133377502877134,0.0760741008616742,1921840,1,"High",143873.5
"126","TLI.F",-5.91962394067797,0.340195664414414,0.0590572033898305,1888,1,"High",8
"127","OSP2.F",0.657804009892951,0.162781114234603,0.0518980568179095,93905.25,1,"High",6880
"128","WIN.F",0.238008890573918,0.0372532532740867,0.0701002306076964,1630041,1,"High",125207.5
"129","RTC.F",0.564925096044191,0.125679528141982,-0.0415841484241378,20462.52075,1,"High",85.31825
"130","SZZ.F",0.578519811572755,0.0108520803693339,0.100717561516802,29311.73775,1,"High",142.63575
"131","ADV.F",0.518624829486267,0.124002259668279,0.0301313228619103,446628.25,1,"High",22244
"132","AIXA.F",0.81778350717642,0.236810883050191,-0.000411575360912892,478041.25,1,"High",3926.5
"133","DAM.F",0.693071113635379,0.0266877087683919,0.0993154825038605,109602.75,1,"High",631.5
"134","DLG.F",0.806984369238384,0.207816074415724,0.125313045183458,1503077.75,1,"High",179326.25
"135","DBD.F",0.07408515481093,0.0336650249606326,-0.045645465958021,4261650,1,"High",542800
"136","ELG.F",0.720271555531085,0.146339015099136,0.0697239416733354,331460.75,1,"High",10481.25
"137","IFX.F",0.56320500879644,0.115076123282584,0.0838507709820967,9663000,1,"High",502000
"138","IXX.F",0.438177296144964,0.0572207424931226,0.0328181441345414,168870,1,"High",7796
"139","WAF.F",0.475387949382764,0.0593949363149354,0.107677721450408,1292050,1,"High",5075
"140","WZM.F",0.508911173423316,0.0607907145447951,-0.288484387624162,5260.25,1,"High",342.75
"141","DAI.F",0.240740815028913,0.0355241831219531,0.0345766499050263,249279500,1,"High",2109500
"142","ZIL2.F",0.436148882726316,0.0429893133462057,0.0366498094575514,1936510.75,1,"High",21876.25
"143","HLE.F",0.398113206756308,0.0966126464142659,0.0598885442952758,5367917.25,1,"High",37143.75
"144","JST.F",0.0821169572721587,0.0157608059058504,-0.0309857002448857,618349.75,1,"High",244773.75
"145","LEO.F",0.323739678668151,0.0281408653971413,0.0250279358466246,3097498.75,1,"High",56771.5
"146","SHA.F",0.184051894958597,0.0569013673122912,0.0690611768141335,11985750,1,"High",104250
"147","SW1.F",0.486240181366943,0.0222851390610657,0.0403940935897372,250321.25,1,"High",10310.75
"148","BAS.F",0.420954659434011,0.0305164412438417,0.0602195384064275,78164000,1,"High",5211750
"149","BAYN.F",0.384239511980913,0.114978570831914,0.0494284347755554,89381750,1,"High",17405500
"150","1COV.F",0.42746006019912,0.020193401592719,0.115072933549433,10797500,1,"High",85500
"151","EVK.F",0.394304818399417,0.0324731337382741,0.0452700593193881,19218000,1,"High",931250
"152","FPE3.F",0.739424206815511,0.0193905817174515,0.154524089306698,1702000,1,"High",116250
"153","FPE.F",0.739424206815511,0.0193905817174515,0.154524089306698,1702000,1,"High",116250
"154","SDF.F",0.455550920969083,0.00398086049339138,0.023804653065779,9409925,1,"High",313125
"155","LXS.F",0.274327236558546,0.0164348063284234,0.0241752776703321,9048500,1,"High",510750
"156","LIN.F",0.442481498352842,0.00820618297059626,0.0572709327734976,37868250,1,"High",4539750
"157","SGL.F",0.23389663038898,0.0356802907496611,-0.0329114659769547,1720525,1,"High",24175
"158","SY1.F",0.369356464184659,0.0645626178707728,0.0563763237150728,4632889,1,"High",793540.25
"159","WCH.F",0.388906709808789,0.0324200590922383,0.0536498793601205,7170100,1,"High",40575
"160","ART.F",0.283991653627031,0.143956965314532,0.126257420393244,5963.5485,1,"Low",1211.2965
"161","DRREDDY.BO",0.578108763830783,0.12489557441363,0.0755298483081064,211959250,0,"High",30859000
"162","CAPPL.BO",0.597818516466013,0.0326771666909759,0.250849348702261,3387007,0,"High",12509
"163","VENUSREM.BO",0.514070905747726,0.0637049973373029,-0.0127864053380812,7999316.25,0,"High",2157625.5
"164","INDOCO.BO",0.573961639408582,0.0427071513603433,0.0670689254332517,10547895.25,0,"High",934813.75
"165","BIOCON.BO",0.503324640808904,-0.0417686341200382,0.0609525807805287,100086000,0,"High",4860250
"166","RAIVV.HE",0.693305414994475,0.0109798576404665,0.0375152678415634,429825,1,"Low",47025
"167","OUT1V.HE",0.430165480651817,0.00280610228440439,0.0320855614973262,5937250,1,"Low",63750
"168","OTE1V.HE",0.30579940066984,0.0490233790656922,-0.0266525647805394,1418250,1,"Low",139250
"169","AMEAS.HE",0.348920062346916,0.0351144022281581,0.0361185333630223,2694600,1,"Low",339025
"170","AMEAS.HE",0.348920062346916,0.0351144022281581,0.0361185333630223,2694600,1,"High",339025
"171","FSC1V.HE",0.391993183385856,0.18775417103103,0.0665431380770115,184842.5,1,"High",16822.25
"172","SSH1V.HE",0.505577360604554,0.365952295166679,-0.179991115060169,22751.42025,1,"High",4970.56425
"173","NOKIA.HE",0.42375382597289,0.201023061615656,-0.000915500655881067,36592000,1,"High",3220750
"174","BAS1V.HE",0.595690400640125,0.19930377823895,-0.0356852815556276,209021.75,1,"High",44442.5
"175","VAIAS.HE",0.645936834634493,0.120621683093252,0.0913768630234209,281800,1,"High",18575
"176","TELIA1.HE",0.385744643031897,0.00230521667539855,0.0251316648791799,250351500,1,"High",15797750
"177","ORNAV.HE",0.623559420289855,0.104726598702502,0.235014492753623,1078125,1,"High",43525
"178","ORNBV.HE",0.623559420289855,0.104726598702502,0.235014492753623,1078125,1,"High",43525
"179","PROF.AT",0.50769640923336,0.0790203506514819,0.0268854427109779,34979.34775,1,"High",5496.74775
"180","ILYDA.AT",0.426573933032766,0.197858065505984,0.00209710919242534,9047.4545,1,"High",2985.996
"181","ENTER.AT",0.727387791871864,0.160054485116306,0.0883691024985707,11996.02825,1,"High",2240.0755
